observed_name	target_unii	external_evidence_name	review_basis	reviewed_at
Hydrous Benzoyl Peroxide	W9WZN9A0GM	HYDROUS BENZOYL PEROXIDE [USP MONOGRAPH]	FDA GSRS UNII Names exact trusted common name on the pinned UNII; source expression is preserved verbatim and no hydrate normalization is inferred	2026-08-13
Cefminox Sodium Hydrate	KZ89N378LQ	CEFMINOX SODIUM HYDRATE [JAN]	FDA GSRS UNII Names exact trusted common name on the pinned UNII; source expression is preserved verbatim and no hydrate suffix rule is inferred	2026-08-13
Calcium Gluconate Hydrate	CZN0MI5R31	CALCIUM GLUCONATE HYDRATE [JAN]	FDA GSRS UNII Names exact trusted common name on the pinned UNII; source expression is preserved verbatim and no hydrate suffix rule is inferred	2026-08-13
Ecabet Sodium Hydrate	4DIV854Y8H	ECABET SODIUM HYDRATE [JAN]	FDA GSRS UNII Names exact trusted common name on the pinned UNII; source expression is preserved verbatim and no hydrate suffix rule is inferred	2026-08-13
Cefroxadine Hydrate	439L36E61V	CEFROXADINE HYDRATE [JAN]	FDA GSRS UNII Names exact trusted common name on the pinned UNII; source expression is preserved verbatim and no hydrate suffix rule is inferred	2026-08-13
Lactitol Hydrate	UH2K6W1Y64	LACTITOL HYDRATE [JAN]	FDA GSRS UNII Names exact trusted common name on the pinned UNII; source expression is preserved verbatim and no hydrate suffix rule is inferred	2026-08-13
Zabofloxacin D-Aspartate Hydrate	A09UU5N4TW	ZABOFLOXACIN D-ASPARTATE HYDRATE [WHO-DD]	FDA GSRS UNII Names exact trusted common name on the pinned UNII; source expression is preserved verbatim and no hydrate suffix rule is inferred	2026-08-13
Calcium Lactate Hydrate	4FM1N296CM	CALCIUM LACTATE HYDRATE [JAN]	FDA GSRS UNII Names exact trusted common name on the pinned UNII; source expression is preserved verbatim and no hydrate suffix rule is inferred	2026-08-13
Dobesilate Calcium	5921X1560Q	DOBESILATE CALCIUM [MI]	FDA GSRS UNII Names exact trusted common name on the pinned UNII; source expression is preserved verbatim and no word-order normalization is inferred	2026-08-13
Dried Sodium Carbonate	45P3261C7T	DRIED SODIUM CARBONATE [JAN]	FDA GSRS UNII Names exact trusted common name on the pinned UNII; source expression is preserved verbatim and no dried-material normalization is inferred	2026-08-13
Thallium (201Tl) Chloride	3I8Y076A0E	THALLIUM (201TL) CHLORIDE [JAN]	FDA GSRS UNII Names exact trusted common name on the pinned UNII; source isotope expression is preserved verbatim and no isotope-name heuristic is inferred	2026-08-13
Doxycycline Hydrate	N12000U13O	DOXYCYCLINE MONOHYDRATE	FDA GSRS UNII Names directly identifies the pinned substance as doxycycline monohydrate; the MFDS source hydrate expression is preserved verbatim and no generic hydrate rule is inferred	2026-08-13
Doxycycline Hyclate Hydrate	19XTS3T51U	DOXYCYCLINE HYDROCHLORIDE HEMIETHANOLATE HEMIHYDRATE	FDA GSRS UNII Names directly identifies the hydrated doxycycline hyclate substance on the pinned UNII; the MFDS source expression is preserved verbatim and no generic hydrate rule is inferred	2026-08-13
Metoclopramide Hydrochloride Hydrate	W1792A2RVD	METOCLOPRAMIDE HYDROCHLORIDE MONOHYDRATE	FDA GSRS UNII Names directly identifies the pinned hydrochloride as the monohydrate; the MFDS source hydrate expression is preserved verbatim and no generic hydrate rule is inferred	2026-08-13
Dapagliflozin Propanediol Hydrate	887K2391VH	DAPAGLIFLOZIN PROPANEDIOL MONOHYDRATE	FDA GSRS UNII Names directly identifies the pinned propanediol substance as the monohydrate; the MFDS source hydrate expression is preserved verbatim and no generic hydrate rule is inferred	2026-08-13
Cefaclor Hydrate	69K7K19H4L	CEFACLOR MONOHYDRATE	FDA GSRS UNII Names directly identifies the pinned cefaclor substance as the monohydrate; the source hydrate expression is preserved verbatim and no generic hydrate rule is inferred	2026-08-13
Lidocaine Hydrochloride Hydrate	V13007Z41A	LIDOCAINE HYDROCHLORIDE MONOHYDRATE	FDA GSRS UNII Names directly identifies the pinned hydrochloride as the monohydrate; the MFDS source hydrate expression is preserved verbatim and no generic hydrate rule is inferred	2026-08-13
Cefprozil Hydrate	4W0459ZA4V	CEFPROZIL MONOHYDRATE	FDA GSRS UNII Names directly identifies the pinned cefprozil substance as the monohydrate; the source hydrate expression is preserved verbatim and no generic hydrate rule is inferred	2026-08-13
Sodium Alendronate Hydrate	2UY4M2U3RA	ALENDRONATE SODIUM HYDRATE	FDA GSRS UNII Names directly contains the hydrated sodium alendronate name on the pinned UNII; the source word order is preserved verbatim and no word-order or hydrate heuristic is inferred	2026-08-13
Aluminium Chloride Hydrate	3CYT62D3GA	ALUMINIUM CHLORIDE HEXAHYDRATE	FDA GSRS UNII Names directly identifies the pinned aluminium chloride substance as the hexahydrate; the source hydrate expression is preserved verbatim and no generic hydrate rule is inferred	2026-08-13
Anhydrous Betaine	3SCV180C9W	BETAINE ANHYDROUS	FDA GSRS UNII Names directly contains the anhydrous betaine name on the pinned UNII; the source word order is preserved verbatim and no anhydrous suffix rule is inferred	2026-08-13
Anhydrous Cefdinir	CI0FAO63WC	CEFDINIR ANHYDROUS	FDA GSRS UNII Names directly contains the anhydrous cefdinir name on the pinned UNII; the source word order is preserved verbatim and no anhydrous suffix rule is inferred	2026-08-13
Potassium Citrate Hydrate	EE90ONI6FF	POTASSIUM CITRATE MONOHYDRATE	FDA GSRS UNII Names directly identifies the pinned potassium citrate substance as the monohydrate; the MFDS source hydrate expression is preserved verbatim and no generic hydrate rule is inferred	2026-08-13
Tirofiban Hydrochloride Hydrate	6H925F8O5J	TIROFIBAN HYDROCHLORIDE MONOHYDRATE	FDA GSRS UNII Names directly identifies the pinned hydrochloride as the monohydrate; the source hydrate expression is preserved verbatim and no generic hydrate rule is inferred	2026-08-13
Edetate Calcium Disodium Hydrate	25IH6R4SGF	EDETATE CALCIUM DISODIUM DIHYDRATE	FDA GSRS UNII Names directly identifies the pinned edetate calcium disodium substance as the dihydrate; the source hydrate expression is preserved verbatim and no generic hydrate rule is inferred	2026-08-13
Balsalazide Disodium Hydrate	1XL6BJI034	BALSALAZIDE DISODIUM DIHYDRATE	FDA GSRS UNII Names directly identifies the pinned balsalazide disodium substance as the dihydrate; the source hydrate expression is preserved verbatim and no generic hydrate rule is inferred	2026-08-13
Sitagliptin Hydrochloride Hydrate	6DH2XG35TG	SITAGLIPTIN MONOHYDROCHLORIDE MONOHYDRATE	FDA GSRS UNII Names directly identifies the hydrochloride monohydrate precise substance; the MFDS hydrate wording is preserved verbatim and no generic hydrate rule is inferred	2026-08-13
Norepinephrine Tartrate Hydrate	IFY5PE3ZRW	NOREPINEPHRINE HYDROGEN TARTRATE MONOHYDRATE	FDA GSRS UNII Names directly identifies norepinephrine hydrogen tartrate monohydrate on the pinned UNII; MFDS Korean identity is 노르에피네프린타르타르산염수화물 and no generic tartrate/hydrate rule is inferred	2026-08-13
Diclofenac Beta-Dimethylaminoethanol	409Q1531N0	BENZENEACETIC ACID, 2-((2,6-DICHLOROPHENYL)AMINO)-, COMPD. WITH 2-(DIMETHYLAMINO)ETHANOL (1:1)	FDA GSRS system name explicitly defines DICLOFENAC DEANOL as diclofenac compounded with 2-(dimethylamino)ethanol; MFDS D000506 names the same beta-dimethylaminoethanol form and no generic amine-salt rule is inferred	2026-08-13
Donepezil Hydrochloride Hydrate	7KZL5YRL6W	DONEPEZIL HYDROCHLORIDE MONOHYDRATE [WHO-DD]	FDA GSRS directly identifies the monohydrate precise substance; MFDS D000891 separately publishes Donepezil Hydrochloride Monohydrate with Korean 도네페질염산염일수화물, corroborating the source hydrate wording	2026-08-13
Ketoprofen Lysin	5WD00E3D4C	KETOPROFEN LYSINE [WHO-DD]	FDA GSRS directly identifies KETOPROFEN LYSINE on the pinned UNII; MFDS D000672 Korean name 케토프로펜리신 corroborates the lysine salt and no global Lysin spelling rule is inferred	2026-08-13
S-Amlodipine Besylate Dihydrate	6WFN2P6FAQ	(S)-AMLODIPINE BESYLATE DIHYDRATE	FDA GSRS directly identifies the S-amlodipine/levamlodipine besylate dihydrate precise substance; MFDS D000868 Korean name specifies the dihydrate and no generic stereochemical or hydrate rule is inferred	2026-08-13
S-Amlodipine Nicotinate	7EQG8Y8AHW	(S)-AMLODIPINE NICOTINATE	FDA GSRS directly identifies the S-amlodipine nicotinate precise substance; MFDS D000868 Korean name 에스암로디핀니코틴산염 corroborates the salt and no generic salt rule is inferred	2026-08-13
S-Amlodipine Besylate	885H5YC40L	(S)-AMLODIPINE BESYLATE	FDA GSRS directly identifies the S-amlodipine/levamlodipine besylate precise substance; the full MFDS source name is reviewed explicitly and no generic stereochemical or besylate rule is inferred	2026-08-13
Edoxaban Tosylate Hydrate	972203R4EW	EDOXABAN TOSILATE HYDRATE [JAN]	FDA GSRS JAN name directly identifies the hydrated edoxaban tosylate/tosilate precise substance on the pinned UNII; no generic tosylate spelling or hydrate rule is inferred	2026-08-13
Dobesilate Calcium Hydrate	M0ROX9374L	CALCIUM DOBESILATE MONOHYDRATE [EP MONOGRAPH]	FDA GSRS EP name directly identifies calcium dobesilate monohydrate on the pinned UNII; source word order and generic hydrate wording are preserved without normalization rules	2026-08-13
Meclizine Hydrochloride Hydrate	HDP7W44CIO	MECLIZINE DIHYDROCHLORIDE MONOHYDRATE	FDA GSRS directly identifies the hydrated meclizine hydrochloride record as the dihydrochloride monohydrate; MFDS Korean source specifies 메클리진염산염수화물 and no generic hydrate rule is inferred	2026-08-13
Esomeprazole Strontium Tetrahydrate	C5N25H3803	(-)-5-METHOXY-2-((S)-((4-METHOXY-3,5-DIMETHYLPYRIDIN-2-YL)METHYL)SULFINYL)-1H- BENZIMIDAZOLE STRONTIUM SALT TETRAHYDRATE	FDA GSRS directly describes the strontium salt tetrahydrate on the pinned UNII; MFDS D000153 source specifies 사수화물 and no generic hydrate rule is inferred	2026-08-13
R-Thioctic Acid Tromethamine	HK7B1AJA3Q	(R)-5-(1,2-DITHIOLALN-3-YL)-PENTANOIC ACID TROMETHAMINE	FDA GSRS directly identifies the R-thioctic acid tromethamine precise substance on the pinned UNII; source stereochemistry is preserved and no generic tromethamine-salt rule is inferred	2026-08-13
Tolterodine-L-Tartrate	5T619TQR3R	TOLTERODINE L-TARTRATE	FDA GSRS directly identifies tolterodine L-tartrate on the pinned UNII; only this full hyphenated source spelling is approved and no punctuation-normalization rule is inferred	2026-08-13
Glutathione (Reduced)	GAN16C9B8O	REDUCED L-GLUTATHIONE	FDA GSRS directly identifies reduced L-glutathione on the glutathione UNII; the source parenthetical is reviewed explicitly and no generic parenthetical-stripping rule is inferred	2026-08-13
Precipitated Calcium Carbonate	H0G9379FGK	PRECPITATED CALCIUM CARBONATE [JAN]	FDA GSRS JAN common name (with source spelling PRECPITATED) places precipitated calcium carbonate on the calcium carbonate UNII; MFDS Korean name 침강탄산칼슘 corroborates the material identity and no generic physical-form stripping is inferred	2026-08-13
